# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
0.125       124.65840     0.016415264       1610.9525
0.125       126.66902     0.015577140       1603.8700
0.125       128.67964     0.014702316       1587.0313
0.125       132.70087     0.013892392       1644.6316
0.125       136.72211     0.012453687       1612.4434
0.125       140.74335     0.011359777       1604.4409
0.125       144.76459     0.010107142       1553.4085
0.125       148.78583    0.0090549404       1510.9168
0.125       152.80707    0.0088134660       1593.1157
0.125       156.82831    0.0079943280       1562.1602
0.125       160.84954    0.0071961461       1517.1542
0.125       164.87078    0.0066619723       1512.5306
0.125       168.89202    0.0061216796       1494.0607
0.125       172.91326    0.0054778000       1434.7008
0.125       176.93450    0.0052111788       1462.3246
0.125       180.95574    0.0049277230       1479.2229
0.125       184.97698    0.0044770356       1435.5351
0.125       188.99821    0.0039391613       1347.2467
0.125       193.01945    0.0038995169       1420.6409
0.125       197.04069    0.0035584934       1379.1268
0.125       201.06193    0.0033089425       1362.5393
0.125       205.08317    0.0031769027       1388.2389
0.125       209.10441    0.0028905871       1338.8930
0.125       213.12565    0.0027224798       1335.1869
0.125       217.14688    0.0024384207       1264.8520
0.125       221.16812    0.0023745086       1301.4024
0.125       225.18936    0.0021449118       1240.8615
0.125       229.21060    0.0020474511       1249.0732
0.125       233.23184    0.0017787001       1143.2376
0.125       237.25308    0.0018727606       1267.0335
0.125       241.27432    0.0017031612       1211.8791
0.125       245.29555    0.0015164781       1133.9018
0.125       249.31679    0.0014978288       1175.9451
0.125       253.33803    0.0013636507       1123.2452
0.125       257.35927    0.0013340919       1152.0609
0.125       265.40175    0.0012223026       1157.6049
0.125       273.44422    0.0010199485       1056.4642
0.125       281.48670   0.00086960335       982.57364
0.125       289.52918   0.00087512373       1076.0111
0.125       297.57166   0.00064406986       859.76136
0.125       305.61413   0.00070769779       1023.3835
0.125       313.65661   0.00071076718       1111.1200
0.125       321.69909   0.00058390383       984.82955
0.125       329.74156   0.00051745251       939.85713
0.125       337.78404   0.00039231788       765.99467
0.125       345.82652   0.00048145430       1008.7887
0.125       353.86900   0.00027975739       628.02852
0.125       361.91147   0.00043961830       1055.7305
0.125       369.95395   0.00037448461       960.61031
0.125       377.99643   0.00026237129       717.87636
0.125       386.03891   0.00031643169       922.23895
0.125       394.08138   0.00031618768       980.33149
0.125       402.12386   0.00020618942       679.22891
0.125       410.16634   0.00016632380       581.43971
0.125       418.20881   0.00014894687       551.92641
0.125       426.25129   0.00013605182       533.79162
0.125       434.29377   0.00014316811       594.11065
0.125       442.33625   0.00032450975       1422.8384
0.125       450.37872   0.00031984285       1480.2685
0.125       458.42120   0.00014901899       727.28722
0.125       466.46368   0.00018591057       955.93387
0.125       474.50615   0.00014347087       776.53235
0.125       482.54863   0.00013741376       782.21069
0.125       490.59111   0.00011665942       697.82912
0.125       498.63359   0.00012258017       769.90133
0.125       506.67606   5.1397467e-05       338.69059
0.125       514.71854   0.00022008879       1520.4692
0.250     0.062831853       2179.7614     0.027391690
0.250      0.12566371       3490.3310      0.35088634
0.250      0.18849556       1444.7358      0.49018729
0.250      0.25132741       1155.0944      0.92898200
0.250      0.31415927       840.91951       1.3209133
0.250      0.37699112       638.25756       1.7324455
0.250      0.43982297       532.19046       2.2938820
0.250      0.50265482       475.22754       3.0576053
0.250      0.56548668       401.92980       3.6820324
0.250      0.62831853       376.54331       4.7317828
0.250      0.69115038       338.24833       5.6574873
0.250      0.75398224       305.39192       6.6314904
0.250      0.81681409       295.89875       8.1692663
0.250      0.87964594       277.85669       9.5810879
0.250      0.94247780       258.68409       10.971181
0.250       1.0053096       242.94314       12.504734
0.250       1.0681415       228.47814       14.105916
0.250       1.1309734       201.80006       14.789336
0.250       1.1938052       202.57858       17.460802
0.250       1.2566371       180.96522       18.192608
0.250       1.3194689       180.74187       21.034226
0.250       1.3823008       176.12633       23.566886
0.250       1.4451326       165.42621       25.292846
0.250       1.5079645       153.96169       26.745841
0.250       1.5707963       149.36428       29.327608
0.250       1.6336282       142.48732       31.470679
0.250       1.6964600       133.47716       33.014758
0.250       1.7592919       128.00403       35.310803
0.250       1.8221237       122.26708       37.472563
0.250       1.8849556       119.80367       40.648428
0.250       1.9477874       113.84583       42.619865
0.250       2.0106193       110.13731       45.351771
0.250       2.0734512       104.34845       47.123516
0.250       2.1362830       100.19062       49.485014
0.250       2.1991149       94.040931       50.667668
0.250       2.2619467       93.717375       54.946177
0.250       2.3247786       89.245765       56.807105
0.250       2.3876104       88.452391       60.991629
0.250       2.4504423       83.064747       61.918501
0.250       2.5132741       81.091233       65.217440
0.250       2.5761060       76.130544       65.935662
0.250       2.6389378       74.436683       69.301838
0.250       2.7017697       70.546817       70.484343
0.250       2.7646015       69.381358       74.269532
0.250       2.8274334       67.125016       76.865563
0.250       2.8902652       64.260427       78.600800
0.250       2.9530971       64.088187       83.614466
0.250       3.0159289       60.976814       84.741921
0.250       3.0787608       59.072540       87.334080
0.250       3.1415927       57.762448       90.733041
0.250       3.2044245       55.636136       92.742192
0.250       3.2672564       53.640611       94.779326
0.250       3.3300882       52.416887       98.063796
0.250       3.3929201       50.062609       99.061436
0.250       3.4557519       49.250442       102.96937
0.250       3.5185838       47.332534       104.45608
0.250       3.5814156       46.203178       107.52422
0.250       3.6442475       44.826079       109.90681
0.250       3.7070793       43.914933       113.33867
0.250       3.7699112       42.581913       115.58162
0.250       3.8327430       41.444770       118.21405
0.250       3.8955749       39.933235       119.59676
0.250       3.9584067       39.037357       122.66253
0.250       4.0212386       37.560469       123.73165
0.250       4.1469023       34.806210       125.74722
0.250       4.2725660       34.685068       137.05004
0.250       4.3982297       32.422191       139.74824
0.250       4.5238934       30.445081       142.79878
0.250       4.6495571       29.081142       148.08684
0.250       4.7752208       28.218286       155.66152
0.250       4.9008845       26.698620       159.21445
0.250       5.0265482       25.417747       163.53732
0.250       5.1522120       24.531358       169.97029
0.250       5.2778757       23.251762       173.18234
0.250       5.4035394       21.950977       175.45231
0.250       5.5292031       21.185486       181.42465
0.250       5.6548668       20.398602       186.86923
0.250       5.7805305       19.528549       191.09236
0.250       5.9061942       18.534173       193.44906
0.250       6.0318579       17.744536       197.28234
0.250       6.1575216       17.196077       203.38432
0.250       6.2831853       16.271827       204.47781
0.250       6.4088490       15.785998       210.51470
0.250       6.5345127       14.975468       211.68510
0.250       6.6601764       14.789903       221.35675
0.250       6.7858401       14.252383       225.61534
0.250       6.9115038       13.595600       227.39782
0.250       7.0371675       12.933138       228.33256
0.250       7.1628313       12.577860       234.16995
0.250       7.2884950       12.119363       237.71884
0.250       7.4141587       11.779921       243.21944
0.250       7.5398224       11.300713       245.39147
0.250       7.6654861       10.944960       249.74887
0.250       7.7911498       10.640143       254.93085
