# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
0.250      0.25132741       1150.4075      0.92521264
0.250      0.31415927       834.80495       1.3113086
0.250      0.37699112       631.90070       1.7151908
0.250      0.43982297       524.24204       2.2596222
0.250      0.50265482       466.16495       2.9992968
0.250      0.56548668       392.60161       3.5965779
0.250      0.62831853       365.37698       4.5914626
0.250      0.69115038       326.94027       5.4683504
0.250      0.75398224       293.98117       6.3837095
0.250      0.81681409       283.51340       7.8273276
0.250      0.87964594       264.68771       9.1269936
0.250      0.94247780       245.74313       10.422335
0.250       1.0053096       229.88317       11.832513
0.250       1.0681415       214.96922       13.271894
0.250       1.1309734       189.32246       13.874889
0.250       1.1938052       188.64528       16.259853
0.250       1.2566371       167.95285       16.884462
0.250       1.3194689       166.75791       19.406812
0.250       1.3823008       162.10428       21.690641
0.250       1.4451326       151.42104       23.151524
0.250       1.5079645       140.81140       24.461406
0.250       1.5707963       136.01394       26.706274
0.250       1.6336282       129.15528       28.526080
0.250       1.6964600       120.37975       29.775192
0.250       1.7592919       115.10014       31.751175
0.250       1.8221237       109.12894       33.445969
0.250       1.8849556       106.53731       36.147256
0.250       1.9477874       100.97650       37.802043
0.250       2.0106193       97.274844       40.055333
0.250       2.0734512       91.829550       41.470010
0.250       2.1362830       87.752650       43.341791
0.250       2.1991149       82.325033       44.355340
0.250       2.2619467       81.525579       47.798169
0.250       2.3247786       77.519425       49.343003
0.250       2.3876104       76.482182       52.737668
0.250       2.4504423       71.568186       53.348682
0.250       2.5132741       69.631290       56.000806
0.250       2.5761060       65.085267       56.369493
0.250       2.6389378       63.391444       59.018529
0.250       2.7017697       60.109780       60.056549
0.250       2.7646015       58.778564       62.919732
0.250       2.8274334       56.835476       65.082901
0.250       2.8902652       54.199170       66.294271
0.250       2.9530971       53.920452       70.348844
0.250       3.0159289       51.158647       71.097221
0.250       3.0787608       49.436366       73.087758
0.250       3.1415927       48.216464       75.738245
0.250       3.2044245       46.168081       76.959496
0.250       3.2672564       44.468630       78.573056
0.250       3.3300882       43.324841       81.053999
0.250       3.3929201       41.233761       81.591345
0.250       3.4557519       40.562891       84.806050
0.250       3.5185838       38.906330       85.860658
0.250       3.5814156       37.976838       88.379845
